SnailID,Treatment,Status,Theta_circmean,Alpha_circmean,Theta_circrho,Alpha_circrho,Position_mean,Vel_mean,Position_sd,Vel_sd
104,Gradient,Uninfected,-2.774641679,0.010021703,0.166423657,0.925029089,2.170748507,0.001943571,4.481365918,0.008090365
105,Gradient,Uninfected,-0.219187442,-0.031906903,0.052658165,0.828668685,34.69672143,0.014086021,8.207912039,0.023922745
106,Gradient,Uninfected,-0.195399413,-0.005964512,0.070985646,0.862589436,33.64256587,0.008836635,7.998248183,0.018315208
107,Gradient,Uninfected,-0.047841776,0.040643218,0.039767783,0.783236647,20.90666298,0.043508082,14.06185603,0.024015726
108,Gradient,Uninfected,-2.706139599,0.000977673,0.030080523,0.814721278,37.67404899,0.012722873,7.419109655,0.024316914
109,Gradient,Uninfected,-2.565962253,-0.014575226,0.039116885,0.616446107,23.90592883,0.032060996,14.43707107,0.023377464
110,Gradient,Uninfected,1.306224535,0.027923658,0.024270853,0.707890986,31.95851006,0.012855195,9.1087544,0.02074313
111,Gradient,Uninfected,-0.728230625,0.012105478,0.053333079,0.818441372,40.20274436,0.011249795,7.007593167,0.020295446
112,Gradient,Uninfected,2.951633924,0.007715223,0.179084314,0.722064164,22.48393148,0.007893976,10.65608204,0.014272809
113,Gradient,Uninfected,0.129355823,0.010823722,0.131826214,0.93065404,32.0794738,0.001286732,1.160986747,0.005341318
114,Gradient,Uninfected,2.698205848,0.012432496,0.138545581,0.830400156,19.02549771,0.004408775,4.119487007,0.012689694
115,Gradient,Uninfected,-1.957869968,-0.00960822,0.024870447,0.747703137,24.1789946,0.023058306,11.23359377,0.027153108
116,Gradient,Uninfected,1.135306169,0.013953183,0.047498855,0.795767036,33.58019908,0.008625938,7.403850242,0.017007033
117,Gradient,Uninfected,-2.238044995,0.012764415,0.037507502,0.900117036,25.19841626,0.005263845,4.487539027,0.01390951
118,Gradient,Uninfected,-0.798025551,0.047385818,0.027199133,0.81579642,29.69190627,0.007683368,2.855674997,0.015172917
119,Gradient,Uninfected,-1.43451614,0.030017824,0.035564932,0.871367527,27.96919012,0.007518713,4.922096073,0.01901622
120,Gradient,Uninfected,-1.981323597,0.024624031,0.018456602,0.842884854,29.34795745,0.005063747,6.281204047,0.013115632
121,Gradient,Infected,0.12542436,0.015837252,0.176296252,0.888156501,37.59707112,0.004984713,7.897614109,0.013517754
122,Gradient,Uninfected,1.616885141,0.00733771,0.023573359,0.894263076,14.05331557,0.003986421,4.087705452,0.011377243
123,Gradient,Uninfected,-0.044209828,0.009311669,0.019218174,0.880816018,32.41915705,0.008410955,4.244128693,0.021454368
124,Gradient,Uninfected,-0.065225559,-0.000793884,0.067163496,0.861431761,43.32726465,0.004617927,3.336505601,0.013524735
